bin,true_range,n,true_mean,pred_mean,bias_pred_minus_true,median_residual,mae,p90_abs_error,rmse
1,"(-5.524, -1.161]",90,-2.1375869833333336,-0.18773504842222222,1.9498519349111112,1.9148298000000001,1.9498519349111112,3.3185816900000007,2.1668513553699134
2,"(-1.161, -0.42]",92,-0.8034250078260871,0.09202252515652173,0.8954475329826088,0.931910885,0.9109371297217393,1.553327713,1.0204001020618976
3,"(-0.42, 0.0338]",88,-0.15918769127840912,0.23990320858409095,0.39909089986250007,0.4175173945,0.4716808679670455,0.8857673339999999,0.5732755830739207
4,"(0.0338, 0.38]",92,0.21642267470652174,0.4038945621826087,0.18747188747608695,0.28801574500000005,0.3802880261760869,0.6569716490000002,0.4252870536472457
5,"(0.38, 0.643]",88,0.5244786268181818,0.5080761184818182,-0.01640250833636364,0.07688819999999996,0.24297338083636363,0.68233681,0.33808458913367356
6,"(0.643, 0.983]",89,0.8162638620224719,0.5794504358764045,-0.23681342614606746,-0.16444225999999995,0.3227676796292135,0.8519127300000001,0.4349673763950886
7,"(0.983, 1.398]",94,1.1775834377659575,0.6941434581382979,-0.4834399796276595,-0.487662,0.5015090115425531,0.8298977,0.5655371633389894
8,"(1.398, 1.963]",85,1.671910605882353,0.777205956882353,-0.8947046490000001,-0.82471713,0.8947046490000001,1.31387664,0.9726001753155356
9,"(1.963, 2.539]",90,2.26747017,0.9822145973333335,-1.2852555726666666,-1.20630135,1.2852555726666666,1.6565623500000002,1.32701903613196
10,"(2.539, 6.029]",90,3.280377508888888,1.236862514,-2.0435149948888887,-1.7986485,2.0435149948888887,3.145778000000001,2.1799589597130002
