sample_id,sequence_length,length_category
km_test_0206,16,<400
km_test_0238,20,<400
km_test_1051,24,<400
km_test_0342,27,<400
km_test_2711,40,<400
km_test_1047,72,<400
km_test_0149,85,<400
km_test_2520,86,<400
km_test_0324,91,<400
km_test_1916,96,<400
km_test_0354,99,<400
km_test_2168,104,<400
km_test_0120,105,<400
km_test_2801,120,<400
km_test_1136,122,<400
km_test_0035,126,<400
km_test_0347,132,<400
km_test_2608,132,<400
km_test_2542,132,<400
km_test_0802,133,<400
km_test_2152,134,<400
km_test_2225,136,<400
km_test_0451,136,<400
km_test_0495,137,<400
km_test_0886,139,<400
km_test_1952,139,<400
km_test_0405,140,<400
km_test_1480,140,<400
km_test_1235,140,<400
km_test_0941,140,<400
km_test_2645,141,<400
km_test_1031,141,<400
km_test_2545,142,<400
km_test_2590,143,<400
km_test_1456,143,<400
km_test_1134,143,<400
km_test_0955,146,<400
km_test_1844,147,<400
km_test_2014,148,<400
km_test_1679,148,<400
km_test_1359,149,<400
km_test_1386,149,<400
km_test_0723,150,<400
km_test_0788,150,<400
km_test_2016,150,<400
km_test_2699,150,<400
km_test_1807,151,<400
km_test_1381,151,<400
km_test_0292,151,<400
km_test_0607,151,<400
km_test_2589,151,<400
km_test_1089,152,<400
km_test_1475,152,<400
km_test_1592,152,<400
km_test_0381,153,<400
km_test_0080,154,<400
km_test_1661,154,<400
km_test_0763,154,<400
km_test_2151,154,<400
km_test_1901,154,<400
km_test_1425,154,<400
km_test_0223,154,<400
km_test_1308,155,<400
km_test_2568,156,<400
km_test_0096,156,<400
km_test_0168,157,<400
km_test_0031,157,<400
km_test_0864,157,<400
km_test_0214,158,<400
km_test_1412,159,<400
km_test_0965,159,<400
km_test_2024,159,<400
km_test_2853,159,<400
km_test_1891,159,<400
km_test_2846,159,<400
km_test_2351,160,<400
km_test_0991,160,<400
km_test_1336,161,<400
km_test_0667,161,<400
km_test_2032,162,<400
km_test_2383,162,<400
km_test_0302,162,<400
km_test_2041,162,<400
km_test_1869,163,<400
km_test_1611,163,<400
km_test_0525,164,<400
km_test_2642,166,<400
km_test_0793,166,<400
km_test_0890,166,<400
km_test_2720,166,<400
km_test_0881,167,<400
km_test_1282,168,<400
km_test_0073,168,<400
km_test_2513,168,<400
km_test_2303,168,<400
km_test_2447,169,<400
km_test_0456,169,<400
km_test_0797,169,<400
km_test_0964,169,<400
km_test_1220,170,<400
km_test_0942,170,<400
km_test_2166,172,<400
km_test_1141,174,<400
km_test_2047,175,<400
km_test_1752,176,<400
km_test_1556,176,<400
km_test_0509,177,<400
km_test_1914,178,<400
km_test_0822,178,<400
km_test_0699,178,<400
km_test_2058,179,<400
km_test_0021,181,<400
km_test_1341,181,<400
km_test_1036,181,<400
km_test_0284,181,<400
km_test_2509,182,<400
km_test_0176,182,<400
km_test_2271,182,<400
km_test_0038,183,<400
km_test_1747,184,<400
km_test_0004,184,<400
km_test_0506,184,<400
km_test_2028,184,<400
km_test_1634,185,<400
km_test_0778,185,<400
km_test_0803,185,<400
km_test_0576,186,<400
km_test_1705,187,<400
km_test_2261,187,<400
km_test_0066,188,<400
km_test_1544,188,<400
km_test_0813,188,<400
km_test_1790,188,<400
km_test_1434,189,<400
km_test_1977,190,<400
km_test_1616,190,<400
km_test_1340,190,<400
km_test_0486,190,<400
km_test_1684,191,<400
km_test_1407,192,<400
km_test_1042,192,<400
km_test_1473,192,<400
km_test_0053,192,<400
km_test_0055,192,<400
km_test_1170,192,<400
km_test_2547,194,<400
km_test_1630,194,<400
km_test_0998,194,<400
km_test_2821,194,<400
km_test_0248,196,<400
km_test_2414,196,<400
km_test_1018,197,<400
km_test_0212,197,<400
km_test_0138,198,<400
km_test_0204,199,<400
km_test_2246,200,<400
km_test_1577,200,<400
km_test_0245,200,<400
km_test_2241,200,<400
km_test_0059,200,<400
km_test_1419,201,<400
km_test_2031,201,<400
km_test_1655,201,<400
km_test_2344,201,<400
km_test_1309,201,<400
km_test_2066,201,<400
km_test_2272,201,<400
km_test_1558,202,<400
km_test_1293,202,<400
km_test_2707,202,<400
km_test_0329,204,<400
km_test_1974,204,<400
km_test_2205,205,<400
km_test_2108,205,<400
km_test_2027,206,<400
km_test_2752,206,<400
km_test_2731,206,<400
km_test_1400,206,<400
km_test_0256,206,<400
km_test_2819,206,<400
km_test_2481,206,<400
km_test_1920,206,<400
km_test_2309,206,<400
km_test_1522,206,<400
km_test_2617,207,<400
km_test_0281,207,<400
km_test_0171,207,<400
km_test_1576,207,<400
km_test_2332,208,<400
km_test_0346,208,<400
km_test_0747,208,<400
km_test_1011,208,<400
km_test_2048,208,<400
km_test_1068,208,<400
km_test_0895,208,<400
km_test_2839,209,<400
km_test_1640,209,<400
km_test_1096,210,<400
km_test_0925,211,<400
km_test_2333,211,<400
km_test_1488,211,<400
km_test_2834,211,<400
km_test_0136,211,<400
km_test_2260,211,<400
km_test_1806,211,<400
km_test_1957,211,<400
km_test_2184,211,<400
km_test_2140,212,<400
km_test_0967,212,<400
km_test_1880,212,<400
km_test_2455,212,<400
km_test_0501,212,<400
km_test_1621,212,<400
km_test_0398,212,<400
km_test_0662,213,<400
km_test_1261,213,<400
km_test_2770,213,<400
km_test_0550,213,<400
km_test_2476,214,<400
km_test_1445,214,<400
km_test_2680,215,<400
km_test_0605,215,<400
km_test_0694,217,<400
km_test_2593,217,<400
km_test_1698,217,<400
km_test_1669,217,<400
km_test_0966,218,<400
km_test_1926,218,<400
km_test_1227,218,<400
km_test_2728,219,<400
km_test_0976,219,<400
km_test_1761,219,<400
km_test_1113,219,<400
km_test_0596,219,<400
km_test_2556,219,<400
km_test_2037,219,<400
km_test_1139,220,<400
km_test_0432,220,<400
km_test_0545,220,<400
km_test_0485,220,<400
km_test_1499,220,<400
km_test_0960,220,<400
km_test_0110,220,<400
km_test_0115,220,<400
km_test_2297,220,<400
km_test_0145,220,<400
km_test_2474,220,<400
km_test_1872,220,<400
km_test_1850,221,<400
km_test_0366,222,<400
km_test_1177,223,<400
km_test_2013,223,<400
km_test_2045,223,<400
km_test_0135,223,<400
km_test_1762,223,<400
km_test_2569,224,<400
km_test_2727,224,<400
km_test_0259,224,<400
km_test_2613,224,<400
km_test_2131,224,<400
km_test_2722,224,<400
km_test_0977,224,<400
km_test_0476,225,<400
km_test_0542,225,<400
km_test_2856,226,<400
km_test_0956,226,<400
km_test_0794,226,<400
km_test_2845,226,<400
km_test_0619,226,<400
km_test_2153,226,<400
km_test_2488,226,<400
km_test_2074,227,<400
km_test_1217,227,<400
km_test_1687,227,<400
km_test_1364,227,<400
km_test_0961,227,<400
km_test_0418,227,<400
km_test_1978,228,<400
km_test_2864,228,<400
km_test_1729,229,<400
km_test_1890,229,<400
